NumEvaluated,QD-Score,MeanNormFitness,MedianNormFitness,MaxNormFitness,CellsOccupied,PercentOccupied
357,1000,40.0,40.0,40,25,100.0
358,1000,40.0,40.0,40,25,100.0
359,1000,40.0,40.0,40,25,100.0
360,1000,40.0,40.0,40,25,100.0
361,1000,40.0,40.0,40,25,100.0
362,1000,40.0,40.0,40,25,100.0
363,1000,40.0,40.0,40,25,100.0
364,1000,40.0,40.0,40,25,100.0
365,1000,40.0,40.0,40,25,100.0
366,1000,40.0,40.0,40,25,100.0
367,1000,40.0,40.0,40,25,100.0
368,1000,40.0,40.0,40,25,100.0
369,1000,40.0,40.0,40,25,100.0
370,1000,40.0,40.0,40,25,100.0
371,1000,40.0,40.0,40,25,100.0
372,1000,40.0,40.0,40,25,100.0
373,1000,40.0,40.0,40,25,100.0
374,1000,40.0,40.0,40,25,100.0
375,1000,40.0,40.0,40,25,100.0
376,1000,40.0,40.0,40,25,100.0
377,1000,40.0,40.0,40,25,100.0
378,1000,40.0,40.0,40,25,100.0
379,1000,40.0,40.0,40,25,100.0
380,1000,40.0,40.0,40,25,100.0
381,1000,40.0,40.0,40,25,100.0
382,1000,40.0,40.0,40,25,100.0
383,1000,40.0,40.0,40,25,100.0
384,1000,40.0,40.0,40,25,100.0
385,1000,40.0,40.0,40,25,100.0
386,1000,40.0,40.0,40,25,100.0
387,1000,40.0,40.0,40,25,100.0
388,1000,40.0,40.0,40,25,100.0
389,1000,40.0,40.0,40,25,100.0
390,1000,40.0,40.0,40,25,100.0
391,1000,40.0,40.0,40,25,100.0
392,1000,40.0,40.0,40,25,100.0
393,1000,40.0,40.0,40,25,100.0
394,1000,40.0,40.0,40,25,100.0
395,1000,40.0,40.0,40,25,100.0
396,1000,40.0,40.0,40,25,100.0
397,1000,40.0,40.0,40,25,100.0
398,1000,40.0,40.0,40,25,100.0
399,1000,40.0,40.0,40,25,100.0
400,1000,40.0,40.0,40,25,100.0
401,1000,40.0,40.0,40,25,100.0
402,1000,40.0,40.0,40,25,100.0
403,1000,40.0,40.0,40,25,100.0
404,1000,40.0,40.0,40,25,100.0
405,1000,40.0,40.0,40,25,100.0
406,1000,40.0,40.0,40,25,100.0
407,1000,40.0,40.0,40,25,100.0
408,1000,40.0,40.0,40,25,100.0
409,1000,40.0,40.0,40,25,100.0
410,1000,40.0,40.0,40,25,100.0
411,1000,40.0,40.0,40,25,100.0
412,1000,40.0,40.0,40,25,100.0
413,1000,40.0,40.0,40,25,100.0
414,1000,40.0,40.0,40,25,100.0
415,1000,40.0,40.0,40,25,100.0
416,1000,40.0,40.0,40,25,100.0
417,1000,40.0,40.0,40,25,100.0
418,1000,40.0,40.0,40,25,100.0
419,1000,40.0,40.0,40,25,100.0
420,1000,40.0,40.0,40,25,100.0
421,1000,40.0,40.0,40,25,100.0
422,1000,40.0,40.0,40,25,100.0
423,1000,40.0,40.0,40,25,100.0
424,1000,40.0,40.0,40,25,100.0
425,1000,40.0,40.0,40,25,100.0
426,1000,40.0,40.0,40,25,100.0
427,1000,40.0,40.0,40,25,100.0
428,1000,40.0,40.0,40,25,100.0
429,1000,40.0,40.0,40,25,100.0
430,1000,40.0,40.0,40,25,100.0
431,1000,40.0,40.0,40,25,100.0
432,1000,40.0,40.0,40,25,100.0
433,1000,40.0,40.0,40,25,100.0
434,1000,40.0,40.0,40,25,100.0
435,1000,40.0,40.0,40,25,100.0
436,1000,40.0,40.0,40,25,100.0
437,1000,40.0,40.0,40,25,100.0
438,1000,40.0,40.0,40,25,100.0
439,1000,40.0,40.0,40,25,100.0
440,1000,40.0,40.0,40,25,100.0
441,1000,40.0,40.0,40,25,100.0
442,1000,40.0,40.0,40,25,100.0
443,1000,40.0,40.0,40,25,100.0
444,1000,40.0,40.0,40,25,100.0
445,1000,40.0,40.0,40,25,100.0
446,1000,40.0,40.0,40,25,100.0
447,1000,40.0,40.0,40,25,100.0
448,1000,40.0,40.0,40,25,100.0
449,1000,40.0,40.0,40,25,100.0
450,1000,40.0,40.0,40,25,100.0
451,1000,40.0,40.0,40,25,100.0
452,1000,40.0,40.0,40,25,100.0
453,1000,40.0,40.0,40,25,100.0
454,1000,40.0,40.0,40,25,100.0
455,1000,40.0,40.0,40,25,100.0
456,1000,40.0,40.0,40,25,100.0
457,1000,40.0,40.0,40,25,100.0
458,1000,40.0,40.0,40,25,100.0
459,1000,40.0,40.0,40,25,100.0
460,1000,40.0,40.0,40,25,100.0
461,1000,40.0,40.0,40,25,100.0
462,1000,40.0,40.0,40,25,100.0
463,1000,40.0,40.0,40,25,100.0
464,1000,40.0,40.0,40,25,100.0
465,1000,40.0,40.0,40,25,100.0
466,1000,40.0,40.0,40,25,100.0
467,1000,40.0,40.0,40,25,100.0
468,1000,40.0,40.0,40,25,100.0
469,1000,40.0,40.0,40,25,100.0
470,1000,40.0,40.0,40,25,100.0
471,1000,40.0,40.0,40,25,100.0
472,1000,40.0,40.0,40,25,100.0
473,1000,40.0,40.0,40,25,100.0
474,1000,40.0,40.0,40,25,100.0
475,1000,40.0,40.0,40,25,100.0
476,1000,40.0,40.0,40,25,100.0
477,1000,40.0,40.0,40,25,100.0
478,1000,40.0,40.0,40,25,100.0
479,1000,40.0,40.0,40,25,100.0
480,1000,40.0,40.0,40,25,100.0
481,1000,40.0,40.0,40,25,100.0
482,1000,40.0,40.0,40,25,100.0
483,1000,40.0,40.0,40,25,100.0
484,1000,40.0,40.0,40,25,100.0
485,1000,40.0,40.0,40,25,100.0
486,1000,40.0,40.0,40,25,100.0
487,1000,40.0,40.0,40,25,100.0
488,1000,40.0,40.0,40,25,100.0
489,1000,40.0,40.0,40,25,100.0
490,1000,40.0,40.0,40,25,100.0
491,1000,40.0,40.0,40,25,100.0
492,1000,40.0,40.0,40,25,100.0
493,1000,40.0,40.0,40,25,100.0
494,1000,40.0,40.0,40,25,100.0
495,1000,40.0,40.0,40,25,100.0
496,1000,40.0,40.0,40,25,100.0
497,1000,40.0,40.0,40,25,100.0
498,1000,40.0,40.0,40,25,100.0
499,1000,40.0,40.0,40,25,100.0
500,1000,40.0,40.0,40,25,100.0
501,1000,40.0,40.0,40,25,100.0
502,1000,40.0,40.0,40,25,100.0
503,1000,40.0,40.0,40,25,100.0
504,1000,40.0,40.0,40,25,100.0
505,1000,40.0,40.0,40,25,100.0
506,1000,40.0,40.0,40,25,100.0
507,1000,40.0,40.0,40,25,100.0
508,1000,40.0,40.0,40,25,100.0
509,1000,40.0,40.0,40,25,100.0
510,1000,40.0,40.0,40,25,100.0
511,1000,40.0,40.0,40,25,100.0
512,1000,40.0,40.0,40,25,100.0
513,1000,40.0,40.0,40,25,100.0
514,1000,40.0,40.0,40,25,100.0
515,1000,40.0,40.0,40,25,100.0
516,1000,40.0,40.0,40,25,100.0
517,1000,40.0,40.0,40,25,100.0
518,1000,40.0,40.0,40,25,100.0
519,1000,40.0,40.0,40,25,100.0
520,1000,40.0,40.0,40,25,100.0
521,1000,40.0,40.0,40,25,100.0
522,1000,40.0,40.0,40,25,100.0
523,1000,40.0,40.0,40,25,100.0
524,1000,40.0,40.0,40,25,100.0
525,1000,40.0,40.0,40,25,100.0
526,1000,40.0,40.0,40,25,100.0
527,1000,40.0,40.0,40,25,100.0
